Date,Open,High,Low,Close,Adj Close,Volume
2020-11-25,0.080000,0.090000,0.080000,0.090000,0.090000,80600
2020-11-27,0.090000,0.090000,0.090000,0.090000,0.090000,100
2020-11-30,0.080000,0.090000,0.080000,0.090000,0.090000,27300
2020-12-01,0.090000,0.090000,0.090000,0.090000,0.090000,5000
2020-12-02,0.090000,0.090000,0.090000,0.090000,0.090000,94000
2020-12-03,0.090000,0.090000,0.090000,0.090000,0.090000,46200
2020-12-04,0.090000,0.100000,0.090000,0.100000,0.100000,161500
2020-12-07,0.110000,0.110000,0.100000,0.100000,0.100000,33000
2020-12-08,0.090000,0.100000,0.090000,0.100000,0.100000,25000
2020-12-09,0.100000,0.110000,0.100000,0.110000,0.110000,103100
2020-12-10,0.110000,0.130000,0.110000,0.120000,0.120000,118400
2020-12-11,0.120000,0.120000,0.110000,0.110000,0.110000,40800
2020-12-14,0.110000,0.120000,0.110000,0.120000,0.120000,120700
2020-12-15,0.110000,0.120000,0.110000,0.110000,0.110000,17200
2020-12-16,0.110000,0.130000,0.110000,0.130000,0.130000,95300
2020-12-17,0.140000,0.140000,0.130000,0.140000,0.140000,40700
2020-12-18,0.160000,0.190000,0.150000,0.170000,0.170000,659800
2020-12-21,0.170000,0.190000,0.150000,0.180000,0.180000,359100
2020-12-22,0.180000,0.190000,0.170000,0.170000,0.170000,369900
2020-12-23,0.180000,0.180000,0.160000,0.180000,0.180000,71600
2020-12-24,0.180000,0.180000,0.170000,0.180000,0.180000,179600
2020-12-28,0.210000,0.210000,0.190000,0.190000,0.190000,449100
2020-12-29,0.200000,0.200000,0.170000,0.190000,0.190000,149600
2020-12-30,0.200000,0.220000,0.180000,0.220000,0.220000,173400
2020-12-31,0.210000,0.220000,0.190000,0.220000,0.220000,186100
2021-01-04,0.220000,0.230000,0.180000,0.210000,0.210000,110700
2021-01-05,0.210000,0.210000,0.180000,0.200000,0.200000,103600
2021-01-06,0.180000,0.210000,0.170000,0.210000,0.210000,60000
2021-01-07,0.200000,0.210000,0.190000,0.190000,0.190000,125300
2021-01-08,0.180000,0.200000,0.180000,0.190000,0.190000,10700
2021-01-11,0.190000,0.210000,0.190000,0.200000,0.200000,49600
2021-01-12,0.200000,0.220000,0.200000,0.220000,0.220000,38400
2021-01-13,0.220000,0.220000,0.200000,0.210000,0.210000,57600
2021-01-14,0.180000,0.240000,0.180000,0.240000,0.240000,152300
2021-01-15,0.210000,0.240000,0.210000,0.230000,0.230000,116900
2021-01-19,0.220000,0.230000,0.210000,0.230000,0.230000,39600
2021-01-20,0.230000,0.240000,0.220000,0.220000,0.220000,50100
2021-01-21,0.220000,0.250000,0.220000,0.240000,0.240000,191200
2021-01-22,0.250000,0.250000,0.220000,0.240000,0.240000,115500
2021-01-25,0.250000,0.250000,0.220000,0.220000,0.220000,44600
2021-01-26,0.220000,0.230000,0.220000,0.230000,0.230000,25300
2021-01-27,0.230000,0.230000,0.190000,0.200000,0.200000,160000
2021-01-28,0.190000,0.200000,0.180000,0.190000,0.190000,34700
2021-01-29,0.190000,0.210000,0.140000,0.170000,0.170000,300200
2021-02-01,0.180000,0.190000,0.160000,0.170000,0.170000,80100
2021-02-02,0.210000,0.210000,0.180000,0.180000,0.180000,5800
2021-02-03,0.170000,0.210000,0.170000,0.200000,0.200000,38000
2021-02-04,0.200000,0.210000,0.160000,0.170000,0.170000,37500
2021-02-05,0.160000,0.210000,0.160000,0.200000,0.200000,62800
2021-02-08,0.200000,0.220000,0.190000,0.190000,0.190000,70200
2021-02-09,0.190000,0.210000,0.190000,0.190000,0.190000,51600
2021-02-10,0.390000,0.400000,0.240000,0.270000,0.270000,4710100
2021-02-11,0.280000,0.320000,0.270000,0.280000,0.280000,795700
2021-02-12,0.270000,0.280000,0.210000,0.220000,0.220000,595600
2021-02-16,0.230000,0.250000,0.200000,0.210000,0.210000,302900
2021-02-17,0.200000,0.230000,0.190000,0.200000,0.200000,223100
2021-02-18,0.230000,0.230000,0.200000,0.210000,0.210000,86200
2021-02-19,0.220000,0.240000,0.210000,0.240000,0.240000,231200
2021-02-22,0.240000,0.260000,0.220000,0.230000,0.230000,146400
2021-02-23,0.220000,0.250000,0.190000,0.200000,0.200000,321100
2021-02-24,0.230000,0.240000,0.190000,0.220000,0.220000,308400
2021-02-25,0.200000,0.230000,0.200000,0.220000,0.220000,242000
2021-02-26,0.220000,0.220000,0.190000,0.190000,0.190000,98000
2021-03-01,0.190000,0.210000,0.190000,0.190000,0.190000,106900
2021-03-02,0.190000,0.220000,0.190000,0.200000,0.200000,106700
2021-03-03,0.220000,0.230000,0.190000,0.190000,0.190000,55500
2021-03-04,0.200000,0.210000,0.170000,0.170000,0.170000,329100
2021-03-05,0.170000,0.200000,0.170000,0.200000,0.200000,144500
2021-03-08,0.180000,0.200000,0.170000,0.190000,0.190000,199000
2021-03-09,0.190000,0.200000,0.190000,0.190000,0.190000,18000
2021-03-10,0.190000,0.200000,0.190000,0.200000,0.200000,8400
2021-03-11,0.190000,0.200000,0.190000,0.190000,0.190000,95300
2021-03-12,0.190000,0.200000,0.190000,0.200000,0.200000,89200
2021-03-15,0.200000,0.210000,0.200000,0.200000,0.200000,153400
2021-03-16,0.200000,0.200000,0.200000,0.200000,0.200000,180700
2021-03-17,0.190000,0.220000,0.190000,0.200000,0.200000,62100
2021-03-18,0.200000,0.220000,0.200000,0.220000,0.220000,33700
2021-03-19,0.220000,0.230000,0.220000,0.230000,0.230000,37600
2021-03-22,0.240000,0.250000,0.220000,0.240000,0.240000,105000
2021-03-23,0.220000,0.230000,0.210000,0.220000,0.220000,118300
2021-03-24,0.220000,0.220000,0.210000,0.210000,0.210000,41000
2021-03-25,0.230000,0.230000,0.210000,0.210000,0.210000,19300
